	age	job	marital	education	default	balance	housing	loan	contact	previous	poutcome	y
0	30	11	2	1	0	1787	0	0	1	0	3	0
1	33	8	2	2	0	4789	1	1	1	4	1	0
2	35	5	3	3	0	1350	1	0	1	1	1	0
3	30	5	2	3	0	1476	1	1	3	0	3	0
4	59	2	2	2	0	0	1	0	3	0	3	0
5	35	5	3	3	0	747	0	0	1	3	1	0
6	36	7	2	3	0	307	1	0	1	2	4	0
7	39	10	2	2	0	147	1	0	1	0	3	0
8	41	3	2	3	0	221	1	0	3	0	3	0
9	43	8	2	1	0	-88	1	1	1	2	1	0
10	39	8	2	2	0	9374	1	0	3	0	3	0
11	43	1	2	2	0	264	1	0	1	0	3	0
12	36	10	2	3	0	1109	0	0	1	0	3	0
13	20	9	3	2	0	502	0	0	1	0	3	1
14	31	2	2	2	0	360	1	1	1	1	1	0
15	40	5	2	3	0	194	0	1	1	0	3	0
16	56	10	2	2	0	4073	0	0	1	0	3	0
17	37	1	3	3	0	2317	1	0	1	2	1	0
18	25	2	3	1	0	-221	1	0	3	0	3	0
19	31	8	2	2	0	132	0	0	1	1	4	0
20	38	5	1	4	0	0	1	0	1	0	3	0
21	42	5	1	3	0	16	0	0	1	0	3	0
22	44	8	3	2	0	106	0	0	3	0	3	0
23	44	3	2	2	0	93	0	0	1	0	3	0
24	26	4	2	3	0	543	0	0	1	0	3	0
25	41	5	2	3	0	5883	0	0	1	0	3	0
26	55	2	2	1	0	627	1	0	3	0	3	0
27	67	6	2	4	0	696	0	0	2	2	1	0
28	56	7	2	2	0	784	0	1	1	0	3	0
29	53	1	2	2	0	105	0	1	1	0	3	0
30	68	6	1	2	0	4189	0	0	2	0	3	1
31	31	10	2	2	0	171	0	0	1	0	3	0
32	59	5	2	2	0	42	0	0	1	0	3	0
33	32	5	3	3	0	2536	1	0	1	0	3	1
34	49	10	2	3	0	1235	0	0	1	0	3	1
35	42	1	1	2	0	1811	1	0	3	0	3	0
36	78	6	1	1	0	229	0	0	2	0	3	1
37	32	2	2	2	0	2089	1	0	1	0	3	1
38	33	5	2	2	0	3935	1	0	1	2	1	1
39	23	8	3	3	0	363	1	0	3	0	3	0
40	38	5	3	3	0	11971	1	0	3	3	1	0
41	36	5	3	3	0	553	0	0	1	0	3	0
42	52	2	2	2	0	1117	1	0	1	0	3	0
43	32	10	2	3	0	396	1	0	1	0	3	0
44	32	10	3	3	0	2204	1	0	1	0	3	0
45	34	5	3	3	0	872	1	0	3	0	3	0
46	55	2	2	1	0	145	0	0	2	2	4	0
47	26	2	2	1	0	0	1	0	3	0	3	0
48	32	3	3	1	1	-849	1	1	1	0	3	0
49	61	1	2	4	0	4629	1	0	1	1	2	1
50	45	2	1	1	0	844	0	0	3	0	3	1
51	37	10	3	2	0	228	1	0	1	0	3	0
52	38	10	3	2	0	50	0	0	1	0	3	0
53	34	10	2	3	0	1539	1	0	1	1	4	1
54	53	2	2	2	0	2231	1	0	1	0	3	0
55	48	1	2	2	0	3064	1	0	2	0	3	0
56	57	5	2	2	0	82	0	1	2	0	3	0
57	33	7	3	3	0	2155	0	0	1	0	3	0
58	36	6	3	2	0	101	1	1	3	0	3	0
59	54	10	1	2	0	784	1	1	3	0	3	0
60	41	2	2	1	0	-516	0	1	2	0	3	0
61	63	6	2	2	0	415	1	0	1	0	3	0
62	48	5	2	3	0	5887	0	0	1	0	3	0
63	48	8	2	2	0	1355	0	0	1	0	3	0
64	56	1	2	2	0	16873	0	0	1	0	3	0
65	51	2	1	2	0	203	1	0	1	5	1	0
66	31	8	2	2	0	338	1	0	1	0	3	0
67	29	10	2	2	0	444	1	0	1	0	3	0
68	41	5	2	2	0	0	0	1	1	0	3	0
69	32	10	3	3	0	360	0	0	1	0	3	0
70	37	5	2	3	0	0	0	0	1	3	2	1
71	42	3	1	3	1	2	1	0	3	0	3	0
72	31	5	3	3	0	6248	1	0	3	0	3	0
73	41	8	2	3	0	412	1	0	3	0	3	0
74	56	6	2	2	0	344	1	0	3	0	3	0
75	54	5	1	3	0	3222	0	0	1	0	3	0
76	41	2	1	2	0	174	1	0	1	1	4	0
77	40	10	3	2	0	591	0	1	1	0	3	0
78	50	2	1	1	0	388	0	0	1	0	3	0
79	40	11	2	2	0	219	1	0	1	1	1	0
80	27	1	1	2	0	451	1	0	1	0	3	1
81	60	6	2	1	0	5	0	0	1	0	3	0
82	28	1	3	2	0	177	1	1	1	0	3	0
83	52	8	2	2	0	657	0	0	2	2	1	1
84	37	5	2	3	0	1315	0	0	1	0	3	1
85	51	2	2	1	0	1466	1	0	3	0	3	0
86	41	10	3	2	0	879	0	1	1	0	3	0
87	35	2	3	1	0	293	1	0	3	0	3	0
88	38	1	2	2	0	424	1	0	1	0	3	0
89	34	2	2	2	0	1831	1	0	3	0	3	0
90	39	2	2	1	0	111	0	0	1	0	3	0
91	34	2	2	1	0	455	1	0	3	0	3	0
92	27	8	3	2	0	-195	1	0	1	0	3	1
93	32	5	3	3	0	3616	0	0	1	0	3	0
94	57	2	2	2	0	14093	0	0	1	0	3	0
95	41	12	3	3	0	1567	0	0	1	0	3	0
96	41	1	2	3	0	5426	1	0	3	0	3	0
97	30	1	3	3	0	261	0	0	1	20	1	0
98	36	2	1	2	0	2843	0	0	1	1	2	0
99	31	11	3	1	0	406	0	0	1	0	3	1
100	36	2	2	2	0	0	1	0	3	0	3	0
101	38	5	3	3	0	493	1	0	1	7	1	0
102	49	10	2	2	0	5996	0	0	2	0	3	0
103	57	8	3	1	0	3777	1	0	2	0	3	0
104	34	5	3	2	0	524	0	0	3	0	3	0
105	32	5	3	3	0	574	1	0	1	3	1	0
106	37	2	2	2	0	427	1	1	3	0	3	0
107	33	7	2	3	0	483	1	0	1	0	3	0
108	56	11	2	1	0	3391	0	0	1	0	3	1
109	27	4	2	1	0	0	1	0	1	0	3	0
110	21	9	3	2	0	2488	0	0	1	3	2	1
111	58	5	2	3	0	1517	1	0	2	0	3	0
112	32	7	2	2	0	217	1	1	1	0	3	0
113	33	2	3	2	0	22	0	0	1	1	1	0
114	25	9	3	2	0	331	0	0	2	0	3	1
115	25	10	3	2	0	505	0	1	1	0	3	1
116	30	8	2	2	0	1808	1	0	1	0	3	0
117	22	1	3	2	0	4111	0	1	1	0	3	0
